CH1,CH2,CH3,CH4,CH5,CH6,Frame Counter,Timestamp
4.414,0.000,0.000,0.000,0.000,0.000,52265,14:09:44
4.412,0.000,0.000,0.000,0.000,0.000,52266,14:09:44
4.412,0.000,0.000,0.000,0.000,0.000,52267,14:09:44
4.410,0.000,0.000,0.000,0.000,0.000,52268,14:09:44
4.411,0.000,0.000,0.000,0.000,0.000,52269,14:09:44
4.409,0.000,0.000,0.000,0.000,0.000,52270,14:09:44
4.409,0.000,0.000,0.000,0.000,0.000,52271,14:09:44
4.407,0.000,0.000,0.000,0.000,0.000,52272,14:09:44
4.408,0.000,0.000,0.000,0.000,0.000,52273,14:09:44
4.406,0.000,0.000,0.000,0.000,0.000,52274,14:09:44
4.407,0.000,0.000,0.000,0.000,0.000,52275,14:09:44
4.405,0.000,0.000,0.000,0.000,0.000,52276,14:09:44
4.405,0.000,0.000,0.000,0.000,0.000,52277,14:09:44
4.403,0.000,0.000,0.000,0.000,0.000,52278,14:09:44
4.404,0.000,0.000,0.000,0.000,0.000,52279,14:09:44
4.402,0.000,0.000,0.000,0.000,0.000,52280,14:09:44
4.403,0.000,0.000,0.000,0.000,0.000,52281,14:09:44
4.402,0.000,0.000,0.000,0.000,0.000,52282,14:09:44
4.403,0.000,0.000,0.000,0.000,0.000,52283,14:09:44
4.402,0.000,0.000,0.000,0.000,0.000,52284,14:09:44
4.405,0.000,0.000,0.000,0.000,0.000,52285,14:09:44
4.405,0.000,0.000,0.000,0.000,0.000,52286,14:09:44
4.409,0.000,0.000,0.000,0.000,0.000,52287,14:09:44
4.410,0.000,0.000,0.000,0.000,0.000,52288,14:09:44
4.413,0.000,0.000,0.000,0.000,0.000,52289,14:09:44
4.414,0.000,0.000,0.000,0.000,0.000,52290,14:09:44
4.416,0.000,0.000,0.000,0.000,0.000,52291,14:09:44
4.416,0.000,0.000,0.000,0.000,0.000,52292,14:09:44
4.418,0.000,0.000,0.000,0.000,0.000,52293,14:09:44
4.417,0.000,0.000,0.000,0.000,0.000,52294,14:09:44
4.419,0.000,0.000,0.000,0.000,0.000,52295,14:09:44
4.419,0.000,0.000,0.000,0.000,0.000,52296,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52297,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52298,14:09:44
4.422,0.000,0.000,0.000,0.000,0.000,52299,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52300,14:09:44
4.422,0.000,0.000,0.000,0.000,0.000,52301,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52302,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52303,14:09:44
4.420,0.000,0.000,0.000,0.000,0.000,52304,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52305,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52306,14:09:44
4.423,0.000,0.000,0.000,0.000,0.000,52307,14:09:44
4.423,0.000,0.000,0.000,0.000,0.000,52308,14:09:44
4.427,0.000,0.000,0.000,0.000,0.000,52309,14:09:44
4.428,0.000,0.000,0.000,0.000,0.000,52310,14:09:44
4.433,0.000,0.000,0.000,0.000,0.000,52311,14:09:44
4.435,0.000,0.000,0.000,0.000,0.000,52312,14:09:44
4.441,0.000,0.000,0.000,0.000,0.000,52313,14:09:44
4.444,0.000,0.000,0.000,0.000,0.000,52314,14:09:44
4.452,0.000,0.000,0.000,0.000,0.000,52315,14:09:44
4.457,0.000,0.000,0.000,0.000,0.000,52316,14:09:44
4.463,0.000,0.000,0.000,0.000,0.000,52317,14:09:44
4.468,0.000,0.000,0.000,0.000,0.000,52318,14:09:44
4.473,0.000,0.000,0.000,0.000,0.000,52319,14:09:44
4.474,0.000,0.000,0.000,0.000,0.000,52320,14:09:44
4.476,0.000,0.000,0.000,0.000,0.000,52321,14:09:44
4.473,0.000,0.000,0.000,0.000,0.000,52322,14:09:44
4.472,0.000,0.000,0.000,0.000,0.000,52323,14:09:44
4.465,0.000,0.000,0.000,0.000,0.000,52324,14:09:44
4.460,0.000,0.000,0.000,0.000,0.000,52325,14:09:44
4.451,0.000,0.000,0.000,0.000,0.000,52326,14:09:44
4.443,0.000,0.000,0.000,0.000,0.000,52327,14:09:44
4.433,0.000,0.000,0.000,0.000,0.000,52328,14:09:44
